Story Title,Date Published,Story Text,Related Service,Summary
Received excellent service,yesterday,"Travel vaccinations for holiday to India.Received excellent service from Shona at Wallacetown health centre in Dundee. Well informed and gave me appropriate information and advice, from the initial video call to what will happen on actual day of vaccination.",About:Central Vaccination Service - DundeeCentral Vaccination Service - Dundee,What was good? advice excellent service information video call well-informed How did you feel? relaxed
Cardiology Outpatients - Cardiac Rehab Classes,yesterday,"I recently attended Cardiac Rehab classes at Dr Grays Hospital in Elgin between, after open heart surgery in April.In my opinion, these classes are an invaluable part of recovering from major heart surgery. Over and above anything else these classes give you the confidence to test yourself physically in a controlled environment and prove you are not as fragile as you may feel sometimes.I can't praise the the Cardiac Rehab team highly enough, they could not have been more encouraging, patient or helpful. I would thoroughly recommend these classes to anyone recovering from cardiac surgery.",About:Dr Gray's Hospital / Cardiology (Heart Conditions)Dr Gray's Hospital Cardiology (Heart Conditions)ElginIV30 1SN,What was good? classes encouraging great team helpful patience How did you feel? encouraged positive
All the staff I met were absolutely wonderful,yesterday,"I had a surgery recently at Queen Margaret DSU. All the staff I met were absolutely wonderful. The took care of everything, communicated well and took great trouble looking after my wife who was waiting for me to come around after surgery before her journey home.Thank you very much, you're the best.",About:Queen Margaret Hospital / Day SurgeryQueen Margaret Hospital Day SurgeryKY12 0SU,What was good? communication level of care staff How did you feel? supported thankful well looked after
Exceptional treatment,yesterday,"Glasgow dental hospital level 6.The treatment I've received from student Yi-Ting has been exceptionalShe is very knowledgeable and explains what she is doing throughout the treatment. She and her assistant, Emily, worked well together.",About:Glasgow Dental Hospital and School / Restorative Dentistry - Level 6 and Level 7Glasgow Dental Hospital and School Restorative Dentistry - Level 6 and Level 7GlasgowG2 3JZ,"Fiona Mackenzie DCP Manager, Glasgow Dental Hospital, NHS Greater Glasgow and Clyde More responses from Fiona Submitted on 08/08/2025 at 14:41 Published on Care Opinion at 14:41 Share this response"
Very professional and efficient,yesterday,"I would like to give a special mention to the lovely radiographers working at the breast screening mobile unit at Drumalane, Newry.Thank you, what is usually an uncomfortable experience , was very tolerable gentle and quick.Very professional and efficient.",About:Southern Health & Social Care Trust / Breast Screening ServiceSouthern Health & Social Care Trust Breast Screening ServicePortadownBT63 5QQ,"Christine Robinson Radiographer Breast screening, Surgery and Clinical Services Directorate, Southern Health and Social Care Trust More responses from Christine Submitted on 08/08/2025 at 15:04 Published on Care Opinion at 15:28 Share this response"
Excellent Experience,yesterday,"I was attending for a routine renal appointment and at the end of the appointment I had to have some blood taken.I am absolutely terrified of needles, but Health Care Assistant Craig was so reassuring and carried out the procedure quickly and painlessly. I cannot thank Craig enough for his compassion and effortless efficiency.",About:New Victoria Hospital / Renal outpatientsNew Victoria Hospital Renal outpatientsGlasgowG42 9LF,What was good? compassion efficient HCA painless reassuring How did you feel? thankful
Gynaecology Appointment,yesterday,"I recently attended a gynae appointment and I was seen by Dr Adams. I had been feeling very anxious regarding this appointment and worried regarding my future. However, I instantly felt at ease with Dr Adams.She listened to my history and my concerns, she made me feel comfortable and reassured. She made me a plan and explained this clearly. She is so kind and understanding. I left the appointment feeling reassured and I understood clearly what my next steps were.Thank you for your excellent care and for taking the time to explain everything to me. I appreciate your kindness and patience.",About:Craigavon Area Hospital / 1 East GynaecologyCraigavon Area Hospital 1 East GynaecologyPortadownBT63 5QQ,"Rosemary Heasley Ward sister 1 East and Early pregnancy and Gynaecology, Craigavon Hospital, Integrated Maternity and Women's Health, Southern Health and Social Care Trust More responses from Rosemary Submitted on 08/08/2025 at 14:12 Published on Care Opinion at 14:12 Share this response"
They looked after me so well,yesterday,"Every member of staff I met in Endoscopy were brilliant.They looked after me so well. Professional and caring.Especially a big thank you to the 3 staff members (sorry I can't remember your names) who were amazing during what was for me a very painful and uncomfortable procedure, you got me through it.",About:Lincoln County Hospital / EndoscopyLincoln County Hospital EndoscopyLN2 5QY,What was good? caring professional staff How did you feel? supported well looked after
Waiting in A&E,yesterday,"GP sent my mother down to A&E to rule out suspected stroke.My mother has been sitting in a waiting area for over 5 hrs and not seen no one. If it was a stroke then she would not be able to get the drugs to save her life due to time wasted sitting in A&E waiting area for 5 hrs! Not seen medical team! Shocking.Suspected stroke is important and time sensitive!!!Not to mks hospital, it seems!",About:University Hospital Monklands / Emergency DepartmentUniversity Hospital Monklands Emergency DepartmentML6 0JS,What could be improved? not treated waiting time How did you feel? angry upset worried
"Gentle, informed, child-centred care",yesterday,"My 5-year-old daughter was recently admitted for vent surgery. Our experience at UHD Day Procedure Unit was an exceptional example of gentle, informed, child-centred care.Prior to surgery, I was emailed advice as to how to prepare my daughter for anaesthesia and details about the risks of surgery. This was helpful and aided the consent process on the day as I had already considered this information.The nursing teams, from pre-op, telephone assessment, ward level, theatre and recovery where gold standard. My daughter was attended to thoroughly, professionally and warmly every step of the way and this dramatically increased her compliance and comfort in undergoing her procedure. Of note, there was a calming member of support staff who I was grateful for in supporting me after my daughter was put under anaesthetic, a time when a lot of parents get a bit wobbly.The theatre team worked with a calm manner that made the expertise of what they were doing look incredibly easy whilst engaging and reassuring a nervous child (and Mum). I was prepared for my daughter to have various responses to the anaesthetic process, but thankfully it went as well as it could.The nursing team supported my daughter to hold her teddy bear and administer pretend strawberry air, following which my daughter self applied her own mask and was calmly supported by Chris, her anaesthetist, and his consultant colleague. Chris (who had already built a good rapport with her prior to surgery) engaged her with jokes about what flavours the air might be in the mask....cheese and onion was suggested. My daughter was engaged and calm until she fell asleep. I felt confident she would be cared for well as I left her for the operation.In regards to the ENT team, my daughter had been seen by audiologists and consultant Mr Toner prior to admission for initial assessments and everyone was kind and professional.Mr Elsherrif the ENT surgeon carried out the surgery on the day and he was an experienced, warm and professional presence who updated me clearly pre and post operatively.I am very grateful for the impact that the procedure has had on my daughter already. My daughter complained of no pain after the surgery and for the remainder of the day; her hearing was also immediately improved.As a health professional, I know first hand the strains of working in the health service, and that's why I hope it is enthusiastically communicated to the relevant teams, that they make a huge difference.This procedure has had a significant impact on my daughter who told me after the operation that she had been uncomfortable all the time before. I'm reassured to know she will better be able to hear in school now and also thrilled that we already have had a lower volume in our home. Last night as she fell asleep I became emotional as we spoke in gentle whispers as she fell asleep and I knew putting her through surgery was worth it.I asked my daughter if she wished to say anything to the team and she said -  Thank you for the ear drops, I can hear, I love you, bye.",About:The Ulster Hospital / Day Procedure UnitThe Ulster Hospital Day Procedure UnitNewtownardsBT16 1RHThe Ulster Hospital / ENT InpatientsThe Ulster Hospital ENT InpatientsBT16 1RH,"Linda Gibson Lead Nurse, Theatres, South Eastern HSC Trust More responses from Linda Submitted on 08/08/2025 at 15:32 Published on Care Opinion at 15:32 Share this response"
